#SHEETINFO | name=Kl5SP Systematyka,,,,
,"Teoria:

https://zpe.gov.pl/a/drogi-rozprzestrzeniania-sie-i-zasady-profilaktyki-chorob-wywolywanych-przez-bakterie/DqjwmRGRe

https://zpe.gov.pl/a/drogi-zakazenia-i-zasady-profilaktyki-chorob-wywolywanych-przez-protisty/DvtYdHdTy

https://zpe.gov.pl/a/porosty/DWtEOMPHS

https://zpe.gov.pl/a/wirusy/D1CxxZfSh

https://zpe.gov.pl/a/bakterie/D4arHI4h6",,,
Opisz cechy królestwa: Protisty,"Budowa komórki:
* z jądrem
* komórki zbudowane są podobnie jak komórki zwierząt, roślin i grzybów w zależności od rodzaju protisty
Budowa organizmu:
* jednokomórkowe (protisty zwierzęce, roślinopodobne i grzybopodobne)
* wielokomórkowe (protisty roślinopodobne i grzybopodobne)
Odżywianie:
* samożywne (protista roślinna)
* cudzożywne (protisty zwięrzęce i grzybopodobne)
* zmiennożywne (protista roślinopodobna)
Oddychanie:
* tlenowe
* beztlenowe
Rozmnażanie:
* płciowe
* bezpłciowe",,,https://upload.wikimedia.org/wikipedia/commons/2/24/Protist_collage.jpg
Co jest wspólną cechą wszystkich protistów?,Obecność jądra komórkowego w komórce.,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Protist_collage.jpg
Na jakie trzy grupy dzielimy protisty?,"# protisty zwierzęce
# protisty roślinopodobne
# protisty grzybopodobne",,,https://upload.wikimedia.org/wikipedia/commons/2/24/Protist_collage.jpg
Podaj przykład protista zwierzęcego.,Pantofelek,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Paramecium_caudatum_Ehrenberg%2C_1833.jpg
W jaki sposób rozmnażają się protisty?,"# bezpłciowo (przez podział komórki u jednokomórkowych lub fragmentację ciała u wielokomórkowych)
# płciowo",,,
Jakie elementy budowy umożliwiają protistom poruszanie się?,"* rzęski (np. u pantofelka)
* wić (np. u eugleny)",,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Structure_of_Euglena.svg/1280px-Structure_of_Euglena.svg.png
Do czego służy wodniczka pokarmowa u pantofelka?,Służy do trawienia pokarmu.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Structure_of_Euglena.svg/1280px-Structure_of_Euglena.svg.png
Wymień przykłady chorób wywoływanych przez protisty.,"# toksoplazmoza
# malaria",,,
Jaka struktura u eugleny pozwala jej wykrywać światło?,Plamka czerwona.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Structure_of_Euglena.svg/1280px-Structure_of_Euglena.svg.png
Podaj dwie różnice w budowie protistów roślinopodobnych i zwierzęcych.,"# Protisty roślinopodobne mają ścianę komórkową, której nie mają zwierzęce.
# Protisty roślinopodobne posiadają chloroplasty, których brak u protistów zwierzęcych.",,,
"Która grupa organizmów (bakterie, grzyby czy protisty) wytwarza tlen?",Protisty roślinopodobne.,,,
Wymień cztery przykłady pozytywnego wpływu protistów na środowisko.,"# są pokarmem dla zwierząt
# wytwarzają tlen
# tworzą schronienie dla ryb (""podwodne łąki"")
# pomagają roślinożercom trawić pokarm",,,
Podaj przykłady pozytywnego znaczenia protistów dla człowieka.,"# są składnikami kosmetyków i maści na oparzenia
# stanowią pokarm dla ludzi i zwierząt",,,
Jakie problemy w gospodarce i zdrowiu człowieka mogą wywoływać protisty?,"# wywołują choroby
# obrastają kadłuby statków
# zapychają filtry do wody, utrudniając jej przepływ",,,
,,,,
Grzyby,,,,
Opisz cechy królestwa: Grzyby,"Budowa komórki:
* z jądrem
* ze ścianą komórkową zbudowaną z chityny
* bez chloroplastów
Budowa organizmu:
* jednokomórkowe
* wielokomórkowe
Odżywianie:
* wyłącznie cudzożywne
Oddychanie:
* tlenowe
* beztlenowe",,,"https://upload.wikimedia.org/wikipedia/commons/b/b9/Malassezia_furfur_SEM_lores.jpg

https://upload.wikimedia.org/wikipedia/commons/e/e6/Asciano_Pisano_-_Buca_delle_Fate_0001.jpg

https://upload.wikimedia.org/wikipedia/commons/a/a2/K%C3%B6pfchenschimmel_Mucor.jpg"
Do jakiego królestwa należą drożdże?,Do królestwa grzybów.,,,"https://upload.wikimedia.org/wikipedia/commons/a/aa/Focaccia_-_Poolish_the_next_day.jpg

https://upload.wikimedia.org/wikipedia/commons/b/b9/Malassezia_furfur_SEM_lores.jpg
"
Jak nazywa się ciało grzyba kapeluszowego i z czego jest zbudowane?,"Nazywa się grzybnia i składa się z długich, cienkich nitek zwanych strzępkami.",,,
Czym jest owocnik u grzybów kapeluszowych?,"To część grzybni wyrastająca nad powierzchnię ziemi, zbudowana z ciasno ułożonych strzępek.",,,https://upload.wikimedia.org/wikipedia/commons/7/79/Types_fruiting.png
Co to jest chityna?,"To cukier, z którego zbudowane są ściany komórkowe grzybów (występuje też w pancerzach skorupiaków).",,,
W jaki sposób odżywiają się grzyby?,Są wyłącznie cudzożywne.,,,
Wymień rodzaje grzybów.,"# drożdze
# pleśniak
# grzyby kapeluszowe
# porosty",,,"https://upload.wikimedia.org/wikipedia/commons/b/b9/Malassezia_furfur_SEM_lores.jpg

https://upload.wikimedia.org/wikipedia/commons/e/e6/Asciano_Pisano_-_Buca_delle_Fate_0001.jpg

https://upload.wikimedia.org/wikipedia/commons/a/a2/K%C3%B6pfchenschimmel_Mucor.jpg"
Wymień trzy źródła pokarmu grzybów.,"# martwe szczątki organizmów
# inne żywe organizmy (pasożytnictwo) 
# współpraca z innymi organizmami",,,
Na czym polega współpraca grzyba z drzewem (np. koźlarza z brzozą)?,"Grzyb dostarcza drzewu wodę i sole mineralne.

Brzoza dostarcza grzybowi cukier.",,,
"Jak nazywają się grzyby, które współpracują z glonami?",Porosty.,,,
Wymień sposoby oddychania grzybów.,"# tlenowe (np. grzyby kapeluszowe)
# beztlenowe (np. drożdże - fermentacja).",,,
Jak nazywa się proces beztlenowego uzyskiwania energii przez drożdże?,Fermentacja.,,,
W jaki sposób rozmnażają się drożdże?,Przez pączkowanie.,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/S_cerevisiae_under_DIC_microscopy.jpg
Jakie jest pozytywne znaczenie grzybów dla środowiska?,"# są pokarmem dla zwierząt
# rozkładają martwą materię
# współpracują z roślinami i glonami
** grzyby współpracujące z glonami tworzą porosty",,,
"Dlaczego nie wolno jeść produktów, na których pojawiła się nawet mała plamka pleśni?",Ponieważ strzępki pleśni wrastają głęboko w produkt i wytwarzają w nim toksyny niebezpieczne dla zdrowia.,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Penicillium_expansum.jpg
Co to jest skala porostowa?,"To skala, która pozwala oszacować poziom zanieczyszczenia powietrza na podstawie rodzaju porostów rosnących na danym terenie.",,,
Gdzie najczęściej występują porosty?,"Występują na:
# kamieniach
# korze drzew
# powierzchni ziemi",,,
Na co szczególnie wrażliwe są porosty?,Są bardzo wrażliwe na zanieczyszczenia powietrza.,,,
Podaj przykłady trzech grzybów jadalnych.,"# borowik szlachetny
# pieprznik jadalny (kurka)
# podgrzybek brunatny
# pieczarka",,,"https://upload.wikimedia.org/wikipedia/commons/8/8a/Boletus_edulis_G3.jpg

https://upload.wikimedia.org/wikipedia/commons/4/49/Cantharellus_cibarius_20090717-02.jpg

https://upload.wikimedia.org/wikipedia/commons/e/e3/Boletus_badius_G1.jpg

https://upload.wikimedia.org/wikipedia/commons/f/f2/2010-08-07_Agaricus_campestris_cropped.jpg"
Podaj przykłady trzech grzybów trujących.,"# muchomor sromotnikowy
# muchomor czerwony
# goryczak żółciowy",,,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/2011-10-26_Amanita_phalloides_%28Fr.%29_Link_177883.jpg/3840px-2011-10-26_Amanita_phalloides_%28Fr.%29_Link_177883.jpg

https://upload.wikimedia.org/wikipedia/commons/3/32/Amanita_muscaria_3_vliegenzwammen_op_rij.jpg

https://upload.wikimedia.org/wikipedia/commons/c/c1/Tylopilus_felleus_BW_47.jpg"
Dlaczego nie wolno niszczyć grzybów trujących i niejadalnych w lesie?,"Ponieważ:
# są one pokarmem dla wielu zwierząt
# pomagają w rozkładzie martwej materii w lesie",,,
W jaki sposób grzyby są pożyteczne dla człowieka? Jaki jest pozytywny wpływ grzybów na człowieka?,"# stanowią pokarm dla ludzi i zwierząt
# są wykorzystywane w przemyśle (np. do wypieku chleba, produkcji serów i alkoholu)
# służą do wytwarzania antybiotyków",,,
Jakie są negatywne skutki obecności grzybów w życiu człowieka?,"# wywołują choroby (grzybice)
# powodują zatrucia pokarmowe (nawet śmiertelne)
# niszczą żywność i produkty przemysłowe",,,
,,,,
Wspólne,,,,
"Gdzie występują bakterie, grzyby i protisty?","Występują we wszystkich środowiskach:
# w wodzie
# glebie
# powietrzu
# wewnątrz innych organizmów",,,
Czy ciało człowieka może być miejscem życia innych organizmów?,"Tak, ciało człowieka jest miejscem życia wielu organizmów, z których niektóre mogą wywoływać choroby.",,,
"Co jest wspólnym negatywnym znaczeniem bakterii, grzybów i protistów dla środowiska?","Wszystkie te grupy mogą wywoływać choroby zwierząt.
A grzyby i protisty także choroby roślin.",,,
