#SHEETINFO | name=Kl5SP Społeczeństwo średniowiecznej Europy,,,,
,"Teoria:

https://zpe.gov.pl/a/przeczytaj/D1c9wYBN2
https://zpe.gov.pl/a/sredniowieczne-miasto/DJNZaPJcf
https://zpe.gov.pl/a/wies-w-sredniowieczu/Dfzl0z4jY",,,
Dlaczego feudalizm doprowadził do rozdrobnienia feudalnego?,"Ponieważ z biegiem czasu feudałowie (wielcy wasale) zaczęli dziedziczyć lenna i powiększać własne księstwa.

Przez zasadę ""wasal mojego wasala nie jest moim wasalem"" władca tracił kontrolę nad niższymi szczeblami rycerstwa, a państwo dzieliło się na skłócone dzielnice.",,,
,,,,
Na rycerskim zamku,,,,
"Wymień rodzaje broni, jakich używał rycerz.","# kopia (do przebijania zbroi przeciwnika z konia)
# miecz
# topór bojowy
# młot bojowy (do zgniatania zbroi)
# sztylet",,,
Przedstaw ideał rycerza bez skazy.,"Rycerz bez skazy to: 
# dobry chrześcijanin, słuchający codziennie mszy
# wierny swojemu władcy
# uprzejmy wobec dam
# mężnie broniący wiary, Kościoła, sierot i wdów
# człowiek szlachetny, unikający niesprawiedliwych wojen",,,
Czym był turniej rycerski?,"Były to zawody rycerzy połączone z ćwiczeniami wojskowymi (indywidualne pojedynki lub pozorowane bitwy drużynowe).

Pozwalały one rycerzom na zdobycie sławy, nagród, a często ogromnych majątków pochodzących z okupów i zdobytych zbroi.",,,
"Wyjaśnij, czym był rozejm boży i kiedy obowiązywał.","Był to wprowadzony przez Kościół pod groźbą kary śmierci zakaz prowadzenia walk między rycerzami.

Obowiązywał od środy wieczorem do poniedziałku rano oraz we wszystkie święta kościelne.",,,
Omów przebieg uroczystości pasowania na rycerza.,"# Noc przed pasowaniem giermek spędzał na modlitwie, a rano kąpał się na znak oczyszczenia z grzechów.
# Giermek składał przysięgę rycerską.
# Następnie król lub wybitny rycerz uderzał go lekko mieczem w ramiona i ogłaszał rycerzem.
# Rycerz otrzymywał pas, miecz, zbroję i ostrogi, po czym odbywała się uczta.",,,
"Wyjaśnij, jakim celom służyły zamki.","Zapewniały bezpieczeństwo ich mieszkańcom i chroniły kraj (w razie najazdu ludność chroniła się w murach).

W czasach pokoju w zamkach odbywały się sądy, a załoga chroniła podróżnych przed zbójcami i strzegła bezpieczeństwa dróg.",,,
Wskaż różnice między paziem a giermkiem.,"Paziem zostawał chłopiec w wieku 7 lat:
* służył rycerzowi przy posiłkach
* uczył się dworskich obyczajów
* uczył się jazdy konnej
* oraz walki drewnianą bronią
Giermkiem zostawano w wieku 14 lat:
* miał on prawo nosić miecz
* dbał o konia i zbroję rycerza
* towarzyszył rycerzowi w bitwach",,,
Kim mogły zostać córki rycerzy?,"Ich los zależał od decyzji ojca. 
Mogły zostać:
* wydane za mąż za rycerza
* posłane do klasztoru, aby zostać zakonnicami.",,,
Czym się zajmowały dziewczynki z rycerskich rodzin?,"Zajmowały się przygotowaniem do roli wzorowej żony i matki.
Uczyły się:
* prowadzenia domu
* tkania
* haftowania
* dobrych manier
* pobierały lekcje śpiewu
* gry na instrumentach",,,
Przedstaw sposób życia rycerzy.,"# Rycerze byli zawodowymi wojownikami walczącymi konno.
# Mieszkali w zamkach lub drewnianych dworach.
# Nie musieli pracować na roli, ponieważ utrzymywali się z pracy swoich poddanych (chłopów).
# Czas wolny spędzali na ćwiczeniach w walce, polowaniach, ucztach i turniejach rycerskich.",,,
"Wyjaśnij, jak Kościół wpływał na postępowanie rycerzy.","Kościół starał się łagodzić grubiańskie obyczaje rycerzy.

Wprowadził ""rozejm boży"", ograniczający dni, w których wolno było walczyć, oraz głosił ideał rycerza bez skazy:
* pobożnego
* prawego
* stającego w obronie wiary, Kościoła i słabszych",,,
"Co musiał zrobić syn rycerza, żeby zostać rycerzem?","Musiał przejść wieloletnie szkolenie:
# W wieku 7 lat zostawał paziem, ucząc się obyczajów i walki dla dzieci. 
# W wieku 14 lat stawał się giermkiem i służył rycerzowi na wojnie. 
# Mając 21 lat i po udowodnieniu swojego męstwa w bitwie, mógł zostać uroczyście pasowany na rycerza.",,,
Wyjaśnij na czym polega pozorowana bitwa.,"Była to udawana bitwa podczas turnieju rycerskiego.
Naprzeciw siebie stawały dwie drużyny konnych rycerzy i na dany znak ruszały do ataku.
Rycerz, który spadł z konia, trafiał do niewoli.",,,
,,,,
Średniowieczni mieszczanie i chłopi,,,,
Co różniło miasto od wsi w średniowieczu?,"Miasto różniło się:
# zabudową (mury obronne, ratusz, ciasne kamienice)
# zajęciami mieszkańców (rzemiosło, handel, usługi)
# własnymi prawami miejskimi i władzą (rada miejska).
Na wsi chłopi zajmowali się rolnictwem i podlegali panu feudalnemu.",,,
Wymień największe miasta w Polsce pod koniec XV w.,"# Gdańsk
# Kraków
# Toruń
# Elbląg",,,
Wymień główne budowle średniowiecznego miasta.,"# mury miejskie wzmocnione basztami
# bramy miejskie
# rynek (główny plac)
# ratusz (siedziba władz miasta)
# domy mieszczan
# kościoły",,,
Dlaczego ogień stanowił duże zagrożenie dla miasta?,"Ponieważ średniowieczne domy miejskie często były zbudowane z łatwopalnego drewna i stały bardzo gęsto obok siebie.

Wykorzystywanie ognia do ogrzewania, gotowania i oświetlania łatwo doprowadzało do pożarów całych miast.",,,
"Wskaż te budowle Carcassonne, które miały zapewnić miastu bezpieczeństwo.","* podwójny pierścień murów obronnych z licznymi basztami
* główne wejście wzmocnione dwiema basztami
* barbakan (okrągła budowla obronna przed murami miasta).",,,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/1_carcassonne_aerial_2016.jpg/3840px-1_carcassonne_aerial_2016.jpg

https://upload.wikimedia.org/wikipedia/commons/0/09/Carcassonne%28France%292.JL.jpg"
Czym się zajmowała rada miejska i kto w niej zasiadał?,"Rada miejska ustalała najważniejsze prawa w mieście:
* ceny na targu
* godziny zamykania bram
* wysokość podatków
* pensję kata.
Zasiadali w niej przedstawiciele patrycjatu, czyli najbogatszych kupców i rzemieślników.",,,
Na jakie grupy dzielili się średniowieczni mieszczanie?,"Dzielili się na:
# patrycjat (najbogatsza elita sprawująca władzę)
# pospólstwo (ubożsi rzemieślnicy i kupcy, stanowiący najliczniejszą grupę)
# plebs (najbiedniejsi, m.in. żebracy, służba, wyrobnicy)",,,
"Wyjaśnij, w jaki sposób czeladnik mógł zostać członkiem cechu.","Musiał udowodnić swoje umiejętności, wykonując samodzielnie doskonałe dzieło rzemieślnicze, zwane majstersztykiem.

Po pozytywnej ocenie przez komisję rzemieślników stawał się mistrzem i mógł otworzyć własny warsztat.",,,
Dlaczego najliczniejszym stanem Europy byli chłopi?,"Ponieważ ich głównym zadaniem było wytwarzanie żywności, a ze względu na niedoskonałe metody rolnicze tamtych czasów, produkcja jedzenia wymagała pracy ogromnej liczby ludzi (chłopi stanowili 9 na 10 Europejczyków).",,,
"Co to znaczy, że chłopi dzierżawili ziemię?","Oznacza to, że ziemia, na której pracowali, nie należała do nich na własność, lecz do pana.

Mogli ją użytkować w zamian za:
* świadczenia (np. pańszczyznę) 
* opłaty (czynsz).",,,
"Czym była dziesięcina, a czym - pańszczyzna?","Dziesięcina to podatek oddawany proboszczowi przez chłopów, wynoszący dziesiątą część plonów.

Pańszczyzna to darmowa praca chłopa w gospodarstwie pana w zamian za zwolnienie z czynszu.",,,
"Wyjaśnij, czym się różniło życie mieszczan od życia rycerzy.","Rycerze:
* mieszkali na zamkach
* nie pracowali fizycznie
* utrzymywali się z pracy chłopów
* spędzali czas na wojnach, turniejach i polowaniach
Mieszczanie:
* mieszkali w zatłoczonych miastach za murami
* musieli sami ciężko pracować na swoje utrzymanie, zajmując się rzemiosłem i handlem.",,,
Porównaj miasto z wsią pod względem: 1) mieszkańców 2) władzy.,"Mieszkańcy:
* W mieście mieszkali mieszczanie (kupcy i rzemieślnicy)
* Na wsi mieszkali chłopi zajmujący się rolnictwem
Władza:
* Władzę w mieście sprawowała wybrana rada miejska (bogaci mieszczanie)
* Wieś podlegała panu feudalnemu (rycerzowi/biskupowi), w którego imieniu rządził sołtys",,,
Przedstaw warunki życia średniowiecznych chłopów.,"# Ich życie polegało na bardzo ciężkiej pracy w polu od świtu do zmierzchu.
# Mieszkali w prymitywnych, jednoizbowych drewnianych chatach.
# Byli obciążeni licznymi podatkami (czynsz), przymusową pracą na rzecz pana (pańszczyzna) i opłatami na rzecz Kościoła (dziesięcina).",,,
,,,,
Duchowieństwo i kultura średniowiecza,,,,
"Kto w średniowiecznej Europie był najwyższym przywódcą duchownym, a kto - świeckim?","* najwyższym przywódcą duchownym był papież
* najważniejszym przywódcą świeckim był cesarz",,,
Czym był średniowieczny uniwersalizm?,"Była to wspólna kultura oraz dążenie do stworzenia jednego społeczeństwa chrześcijańskiej Europy (te same święta, łacina jako język nauki, podobna architektura i wspólna religia).",,,
Wymień najważniejsze zakony religijne działające w średniowiecznej Europie.,"# Benedyktyni
# Franciszkanie",,,
Przedstaw sposób życia dawnych benedyktynów.,"# Żyli według reguły św. Benedykta w ubóstwie i celibacie. 
# Ich dzień wypełniała wspólna modlitwa i ciężka praca fizyczna (np. w polu, przy pieczeniu chleba) oraz przepisywanie ksiąg. 
# Zachowywali posty i poddawali się umartwieniom.",,,
"Wyjaśnij, dlaczego mnisi poddawali się umartwieniom.","Uważali to za konieczne, by zbliżyć się do Boga i zasłużyć na zbawienie, a także aby ograniczyć własne potrzeby i więcej myśleć o innych.",,,
Dlaczego kazania św. Franciszka poruszały słuchaczy?,"# Ponieważ żył dokładnie tak, jak nauczał.
# Mimo że był z bogatej rodziny, rozdał wszystko, ubrał się w wór i żył w skrajnym ubóstwie.
# Głosił radosną wiarę opartą na miłości Boga do ludzi i zachwycie nad przyrodą.",,,
Co nowego wprowadził św. Franciszek w życiu zakonnym?,"Założył zakon żebraczy (franciszkanów).

W przeciwieństwie do wcześniejszych zakonów (np. benedyktynów), jego mnisi:
* nie posiadali własnych gospodarstw, klasztorów ani bogactw
* wędrowali między ludźmi
* utrzymywali się wyłącznie z jałmużny",,,
Omów wygląd romańskich świątyń.,"Budowle te przypominały z zewnątrz proste bryły geometryczne (prostopadłościan, walec), a z góry miały kształt krzyża.

Posiadały grube, kamienne mury, ciężkie sklepienia i bardzo małe okna, dlatego wewnątrz panował mrok.",,,
Dlaczego kościoły gotyckie mogły być znacznie wyższe od romańskich?,"Ponieważ zastosowano w nich innowacyjne rozwiązania, takie jak:
* ostrołuki
* sklepienia żebrowe
* system zewnętrznych przypór, na których spoczywał ciężar budowli.
Dzięki temu mury mogły być dużo wyższe, cieńsze i posiadać potężne okna.",,,"https://upload.wikimedia.org/wikipedia/commons/4/44/Cathedral_Notre-Dame_de_Reims%2C_France-PerCorr.jpg

https://upload.wikimedia.org/wikipedia/commons/2/24/Starogard_Gda%C5%84ski_014.jpg

https://upload.wikimedia.org/wikipedia/commons/7/75/Saint_Thomas_of_Canterbury_church_in_Sulej%C3%B3w.png

https://upload.wikimedia.org/wikipedia/commons/9/99/Romanesque_church_of_Saint-Andreas_Szprotawa%2C_Poland.jpg"
Gdzie powstały pierwsze europejskie uniwersytety?,"Pierwsze uniwersytety powstały:
* we Włoszech (Bolonia) - koniec XI wieku
* we Francji (Sorbona w Paryżu) - XII wiek
* w Anglii (Oksford) - XII wiek",,,
"Wyjaśnij, gdzie i czego uczyły się dziewczynki.","* Dziewczynki uczyły się głównie w domu, gdzie przygotowywano je do roli żony i matki (prowadzenie domu, tkanie, haftowanie, śpiew, dobre maniery). 
* Niektóre spędzały kilka lat w klasztorach żeńskich, gdzie uczyły się śpiewu psalmów, a czasem czytania i pisania po łacinie. 
* Kobiety nie mogły studiować na uniwersytetach.",,,
Dlaczego można mówić o chrześcijańskiej Europie w średniowieczu?,"Z powodu tzw. średniowiecznego uniwersalizmu.
Mimo podziału na różne państwa i narody, całą Europę łączyła:
* jedna wiara w Chrystusa
* te same święta kościelne
* wspólny język wykształconych ludzi (łacina)
* oraz podobna, podyktowana religią architektura i kultura",,,
Omów wpływ benedyktynów na rozwój Europy.,"# mieli ogromny wkład w zachowanie cywilizacji
# kopiowali starożytne dzieła i księgi (chroniąc je przed zniszczeniem)
# uczyli chłopów udoskonalonych metod uprawy ziemi i rzemiosła
# zakładali szkoły
# zakładali szpitale dla ubogich
# udzielali gościny podróżnym",,,
Wskaż różnice między stylem romańskim a stylem gotyckim.,"Styl romański cechowały:
* budowle przypominające zwarte niskie bryły geometryczne
* bardzo grube mury
* maleńkie, półkoliste okna 
Styl gotycki to:
* budowle strzeliste
* z ostrołukami
* sklepieniami żebrowymi
* zewnętrznymi przyporami
* co pozwalało na wstawienie ogromnych okien z witrażami",,,"https://upload.wikimedia.org/wikipedia/commons/4/44/Cathedral_Notre-Dame_de_Reims%2C_France-PerCorr.jpg

https://upload.wikimedia.org/wikipedia/commons/2/24/Starogard_Gda%C5%84ski_014.jpg

https://upload.wikimedia.org/wikipedia/commons/7/75/Saint_Thomas_of_Canterbury_church_in_Sulej%C3%B3w.png

https://upload.wikimedia.org/wikipedia/commons/9/99/Romanesque_church_of_Saint-Andreas_Szprotawa%2C_Poland.jpg"
